user_id;returned;prediction;probability
1070;0.0;0.0;0.0
73391;0.0;0.0;0.0
85368;0.0;1.0;0.55
1068;1.0;1.0;0.98
85366;0.0;0.0;0.0
12444;1.0;0.0;0.07
85364;0.0;1.0;0.69
12442;0.0;0.0;0.02
85362;0.0;0.0;0.36
12448;0.0;0.0;0.06
85360;0.0;0.0;0.08
12446;1.0;1.0;0.73
1080;0.0;0.0;0.0
85392;0.0;0.0;0.05
85390;0.0;0.0;0.01
1088;0.0;0.0;0.44
1086;0.0;0.0;0.01
1084;0.0;0.0;0.0
1082;1.0;1.0;0.98
12418;0.0;0.0;0.21
12416;0.0;0.0;0.0
1078;0.0;0.0;0.09
12410;1.0;1.0;0.94
85398;0.0;0.0;0.0
12414;1.0;1.0;0.88
85396;1.0;0.0;0.32
12412;0.0;0.0;0.0
85394;1.0;1.0;1.0
85380;0.0;0.0;0.0
24406;0.0;0.0;0.01
1090;0.0;0.0;0.0
24408;0.0;0.0;0.0
1098;0.0;0.0;0.0
24400;1.0;1.0;0.78
1096;0.0;0.0;0.0
24402;0.0;0.0;0.24
1094;0.0;0.0;0.0
24404;0.0;0.0;0.29
1092;1.0;1.0;0.6
12428;0.0;0.0;0.0
85388;0.0;0.0;0.22
12422;0.0;1.0;0.52
85386;1.0;1.0;0.97
12420;1.0;1.0;0.56
85384;0.0;0.0;0.22
12426;0.0;0.0;0.47
85382;0.0;0.0;0.04
12424;0.0;0.0;0.0
12408;0.0;0.0;0.2
12406;0.0;0.0;0.0
12400;0.0;0.0;0.16
12404;0.0;0.0;0.12
12402;1.0;1.0;0.95
73307;0.0;0.0;0.46
12392;0.0;0.0;0.0
73305;0.0;0.0;0.22
48349;1.0;1.0;0.99
36361;0.0;0.0;0.3
12390;0.0;0.0;0.0
63981;1.0;1.0;0.97
73303;0.0;0.0;0.0
48347;1.0;1.0;0.77
36363;0.0;0.0;0.01
12396;1.0;1.0;0.81
63983;0.0;0.0;0.0
73301;0.0;0.0;0.01
61321;1.0;1.0;0.83
48345;1.0;0.0;0.17
36365;0.0;0.0;0.0
12394;1.0;1.0;0.94
63985;0.0;0.0;0.0
61323;0.0;0.0;0.0
24376;0.0;0.0;0.1
63987;1.0;1.0;0.61
61325;0.0;0.0;0.0
24378;1.0;1.0;0.99
63989;0.0;0.0;0.0
61327;0.0;0.0;0.2
61329;1.0;0.0;0.37
61319;0.0;0.0;0.14
87958;0.0;0.0;0.01
24370;0.0;0.0;0.12
87956;1.0;1.0;0.69
75971;0.0;0.0;0.24
24372;1.0;1.0;0.56
87954;0.0;0.0;0.01
75973;0.0;0.0;0.22
24374;1.0;0.0;0.46
87952;0.0;0.0;0.3
75975;1.0;1.0;0.95
48343;0.0;0.0;0.12
36367;0.0;0.0;0.04
87950;0.0;0.0;0.0
75977;0.0;0.0;0.0
48341;0.0;0.0;0.23
36369;0.0;0.0;0.01
12398;0.0;0.0;0.0
75979;1.0;1.0;0.98
73319;0.0;0.0;0.01
73317;0.0;0.0;0.02
48339;1.0;1.0;0.99
73315;0.0;0.0;0.0
48337;0.0;0.0;0.1
36351;0.0;0.0;0.0
63991;0.0;0.0;0.0
73313;1.0;1.0;0.98
61331;0.0;0.0;0.0
48335;0.0;0.0;0.0
36353;0.0;0.0;0.0
63993;0.0;0.0;0.0
73311;1.0;0.0;0.31
61333;1.0;1.0;0.91
24388;1.0;0.0;0.4
63995;0.0;0.0;0.42
61335;0.0;0.0;0.22
63997;0.0;0.0;0.01
61337;0.0;0.0;0.01
63999;1.0;1.0;0.99
61339;0.0;0.0;0.0
24380;1.0;1.0;0.54
87948;0.0;0.0;0.09
24382;1.0;1.0;0.6
87946;0.0;0.0;0.0
24384;1.0;1.0;0.66
87944;0.0;0.0;0.0
75961;0.0;1.0;0.69
24386;0.0;0.0;0.0
87942;0.0;0.0;0.0
75963;0.0;0.0;0.01
48333;1.0;1.0;0.98
36355;1.0;1.0;0.79
87940;0.0;1.0;0.6
75965;1.0;1.0;0.53
48331;1.0;1.0;0.92
36357;0.0;0.0;0.01
75967;0.0;0.0;0.09
36359;0.0;0.0;0.0
75969;0.0;1.0;0.72
73309;0.0;1.0;0.6
73329;1.0;1.0;0.98
48329;0.0;0.0;0.05
12370;1.0;1.0;0.82
73327;0.0;0.0;0.26
48327;0.0;0.0;0.01
73325;1.0;0.0;0.25
61341;1.0;1.0;0.89
48325;0.0;0.0;0.0
36341;0.0;0.0;0.0
12374;0.0;0.0;0.01
73323;0.0;0.0;0.1
61343;0.0;0.0;0.01
48323;0.0;1.0;0.59
36343;0.0;0.0;0.0
12372;0.0;0.0;0.0
73321;0.0;0.0;0.0
61345;0.0;0.0;0.0
24354;0.0;0.0;0.1
61347;0.0;0.0;0.1
24356;0.0;0.0;0.0
61349;0.0;0.0;0.06
24358;0.0;0.0;0.0
85318;1.0;1.0;0.99
75991;1.0;0.0;0.09
87978;1.0;0.0;0.47
85316;0.0;0.0;0.0
75993;0.0;0.0;0.0
24350;1.0;1.0;0.72
87976;0.0;0.0;0.0
85314;0.0;0.0;0.1
75995;0.0;0.0;0.0
24352;0.0;0.0;0.05
87974;0.0;0.0;0.0
85312;0.0;0.0;0.0
75997;0.0;0.0;0.0
48321;1.0;1.0;0.99
36345;1.0;1.0;0.89
12378;0.0;0.0;0.0
87972;0.0;0.0;0.39
85310;0.0;0.0;0.0
75999;1.0;1.0;0.85
36347;0.0;0.0;0.13
12376;1.0;1.0;0.99
87970;0.0;0.0;0.46
36349;1.0;1.0;0.99
48319;0.0;0.0;0.01
12380;0.0;1.0;0.62
73339;0.0;0.0;0.38
48317;0.0;0.0;0.49
73337;0.0;0.0;0.06
61351;1.0;1.0;0.75
48315;0.0;0.0;0.16
12384;0.0;0.0;0.0
38991;0.0;0.0;0.0
73335;0.0;0.0;0.09
